question,document_id
Does a bouncy castle need to be on grass or can it go on concrete/indoors too?,faq_8
"What kind of ground can you place a bouncy castle on, and do hard surfaces need sandbags?",faq_8
"Can the bounce house be installed on hard surfaces like asphalt or inside, or only on grass?",faq_8
Do I need to be there for setup and pickup of the rental?,faq_13
Does an adult have to be present when you set up and pick up the equipment?,faq_13
"Can setup and pickup happen if no one is home, or do I need to sign and be there?",faq_13
Is someone required to stay during delivery setup and pickup to sign and inspect everything?,faq_13
"Do i need to be present for the rental drop off and pick up, or can you do it without me?",faq_13
Who is responsible for setting up the bouncy castle?,faq_11
Does the rental company do the delivery and setup for the bounce house?,faq_11
Do I need to set up the inflatable myself or do you handle it?,faq_11
How long does it take to set up the bouncy castle?,faq_11
Who takes down the bouncy castle after the rental?,faq_11
What time is delivery and pickup usually scheduled for?,faq_12
When can I expect my rental to be delivered and picked up?,faq_12
Do you deliver in the morning and pick up at night or the next day?,faq_12
How long is a standard rental period for delivery/pickup?,faq_12
What are the usual delivery and pickup times for an event rental?,faq_12
Does the rental clock include setup and takedown time?,faq_14
Is inflatables setup and pickup time counted in the rental period?,faq_14
Do I get charged for the time it takes to set up and take down the bounce house?,faq_14
Is installation and removal included in the rental duration or separate?,faq_14
Does rental time start when you set up or only when the inflatable is ready to use?,faq_14
Can I rent the bouncy castle overnight?,faq_15
"Do you offer overnight hire for the bouncy castle, and is there an extra fee?",faq_15
Is it possible to keep the bounce house overnight?,faq_15
Can the inflatable be left up overnight in my yard?,faq_15
"Do overnight bouncy castle rentals cost extra, and where should it be set up?",faq_15
Are there any age or height restrictions for the inflatables?,faq_18
What are the age and height limits for bounce houses?,faq_18
Do the inflatables have restrictions for younger or taller kids?,faq_18
Can little kids and older bigger kids use the inflatable together?,faq_18
Are adults allowed to bounce with small children in the inflatable?,faq_18
Do kids have to wear socks at the play area?,faq_19
Are children required to have socks on?,faq_19
"Can my child go without socks, or are they mandatory?",faq_19
Do toddlers need socks and no shoes?,faq_19
"Is it ok for children to be barefoot, or must they wear socks?",faq_19
What things aren't allowed in the bouncy castle?,faq_21
Can you tell me what items are prohibited in the inflatable?,faq_21
What am I not supposed to bring into the bounce house?,faq_21
"Are shoes, food, or drinks allowed in the bouncy castle, or are they banned?",faq_21
What items and activities are forbidden on the bouncy castle?,faq_21
Do we need an adult watching the inflatable at all times?,faq_16
Is adult supervision required while kids are using the inflatable?,faq_16
Does someone 18+ have to supervise the inflatable the whole time?,faq_16
"Can children use it without an adult there, or is supervision mandatory?",faq_16
"Who needs to supervise the inflatable, and is it required at all times?",faq_16
Why is silly string not allowed on the inflatable?,faq_22
Can I use silly string at the event or is it prohibited?,faq_22
What’s the reason silly string is banned?,faq_22
Why cant we bring silly string? Does it damage the bouncy castle?,faq_22
Is silly string bad for the inflatable and will there be a cleaning fee?,faq_22
How many kids can be in a bounce house at once?,faq_17
What’s the max capacity for your inflatables?,faq_17
How many people are allowed on the water slide at the same time?,faq_17
How many riders can use a combo unit at once?,faq_17
What are the occupancy limits for bounce houses and slides?,faq_17
Are grown-ups allowed on the bouncy castle?,faq_20
Can adults jump in a bouncy castle or is it just for kids?,faq_20
"Do you have adult bouncy castles, and what are the weight limits?",faq_20
Is it safe for adults to use a bouncy castle if there’s enough space?,faq_20
"Can grown ups use bounce castles, or are they children only?",faq_20
Is the rental company insured?,faq_23
Do you have public liability insurance for the rental?,faq_23
What insurance does the rental company carry?,faq_23
Can I see proof of your insurance for a school or public event?,faq_23
Are you covered by liability insurance under EU rules?,faq_23
Am I liable if someone gets hurt on the bounce house or if there’s damage?,faq_24
Do I have to be responsible for injuries or property damage during the rental?,faq_24
Who is responsible if a guest is injured while using the rental equipment?,faq_24
Will I need to sign a waiver saying I accept responsibility for accidents or damage?,faq_24
am i resposible for any injuries or damage during the bounce house rental?,faq_24
Do I need a permit to set up on public property?,faq_27
Can I set up on public land without permission?,faq_27
What do I need for setting up on a sidewalk or other public property?,faq_27
Do I need council approval and insurance to set up in a public area?,faq_27
Is permission required to use public property for my setup?,faq_27
What happens if the bouncy castle gets damaged during my rental?,faq_28
Am I responsible if the inflatable is damaged while I’m using it?,faq_28
Who pays for repairs if the bouncy castle is damaged by misuse or negligence?,faq_28
Does normal wear and tear count as damage on the bouncy castle?,faq_28
Will I have to pay replacement fees if the bouncy castle gets ruined during the hire?,faq_28
Do I have to clean the bouncy castle before I return it?,faq_29
What happens if the bouncy castle comes back dirty?,faq_29
Is it my responsibility to clean the inflatable before giving it back?,faq_29
Are there any extra charges if the bouncy castle needs a lot of cleaning when returned?,faq_29
Do we need to wash down the bouncy castle after use or return it as-is?,faq_29
Can I put up a bouncy castle in a park or public area?,faq_26
Are bouncy castles allowed in public spaces like parks?,faq_26
Do I need a permit to set up a bouncy castle in a park?,faq_26
"Can I hire a bouncy castle for a park party, and what permissions do I need?",faq_26
Is it okay to have a bouncy castle in a public park or do I need council approval first?,faq_26
What’s included in the rental price for an inflatable?,faq_32
"Does the rental cost cover delivery, setup, and takedown?",faq_32
Are delivery and cleaning included in the bounce house rental price?,faq_32
"When I rent an inflatable, what am I paying for exactly?",faq_32
"Do rental prices usually include setup and pickup, or is that extra?",faq_32
What should I do if the equipment stops working during use?,faq_30
"If the rental equipment malfunctions, who do I contact?",faq_30
Can I try to fix the equipment myself if it breaks down?,faq_30
What do I do when the machine has a problem or isn't working right?,faq_30
equipment not working - should I repair it or call the rental company?,faq_30
How much does it cost to rent a bouncy castle?,faq_33
What are the prices for hiring a bounce house or inflatable?,faq_33
"How much do bouncy castles usually cost, and does it depend on size?",faq_33
What's the rental price range for a small bounce house vs a bigger combo unit?,faq_33
Do bouncy castle rentals cost less for multi-day bookings?,faq_33
Do I need to switch off the blower when it starts raining?,faq_31
What should I do with the blower if it rains during use?,faq_31
"Should the blower keep running in rainy weather, or turn it off?",faq_31
"If it begins to rain, do I shut down the blower or leave it on?",faq_31
Blower and rain: do I need to stop it or just cover it?,faq_31
Do I need to arrange my own insurance for hiring an inflatable?,faq_25
Should I get public liability insurance myself when booking a bouncy castle or inflatable?,faq_25
Is it recommended that I have my own insurance for a large event or public venue hire?,faq_25
Do I need liability cover when using an inflatable at my event?,faq_25
Will I need to sort out my own public liability insurance for the inflatable hire?,faq_25
Can we move the bouncy castle after it's been set up?,faq_35
Is it okay to reposition the inflatable once the delivery team has installed it?,faq_35
"Can I shift the bouncy castle a little after setup, or should it stay put?",faq_35
"Once the bouncy castle is inflated, can it be moved somewhere else?",faq_35
"Do not move the bouncy castle after setup, right?",faq_35
How do you clean the bouncy castles after use?,faq_34
Are the inflatables disinfected between rentals?,faq_34
What is your cleaning process for bounce houses?,faq_34
Do you sanitize the bouncy castles after every event?,faq_34
"If I'm worried about hygiene, how can I ask about your cleaning procedures?",faq_34
Can I extend my rental on the day of the event?,faq_36
What happens if I need extra rental time during my event?,faq_36
How do I request a same-day extension for my rental?,faq_36
"If my event runs longer, can I keep the rental longer too?",faq_36
Do I need to contact the rental company to add more hours on the event day?,faq_36
Can I still use the water slide if it’s chilly out?,faq_37
Is it okay to rent a water slide and use it dry when it’s not hot outside?,faq_37
Can water slides be used without water in cooler weather?,faq_37
"Do I need hot weather to use a waterslide, or can it be a dry slide?",faq_37
Can you set up a water slide as a regular slide if we don’t connect the water?,faq_37
What kinds of products does Bouncy Kings sell?,faq_39
Do Bouncy Kings offer bouncy castles and inflatable slides?,faq_39
What equipment or party hire items are available from Bouncy Kings?,faq_39
"Can you tell me what products Bouncy Kings has, like photo booths or soft play?",faq_39
What sort of inflatables and other products do Bouncy Kings offer?,faq_39
What postcode areas do you cover for venues on the site?,faq_43
Which venue postcodes are available on Bouncy Kings?,faq_43
"Can I search venues by postcode area like CV, DE or LE?",faq_43
What are the venue postcode categories listed on the website?,faq_43
"Do you have all venues listed for Warwickshire, Derbyshire, Leicestershire, Northamptonshire and Nottinghamshire?",faq_43
What kinds of bouncy castle and entertainment packages do you have?,faq_44
Do you offer different inflatable hire packages and themed entertainment options?,faq_44
Can you tell me what packages Bouncy Kings provides for parties and events?,faq_44
What entertainment products and inflatables are available to hire?,faq_44
"Which types of packages do you do, like slide, soft play, rodeo bull, or themed party packages?",faq_44
What occasions can I hire it for?,faq_42
Which types of events are allowed for the hire?,faq_42
"Can the hire be used for things like birthdays, weddings or charity events?",faq_42
What occasions does Bouncy Kings list for using the hire?,faq_42
"Is this suitable for parties, school events, or stag and hen dos?",faq_42
Do Bouncy Kings have any package deals?,faq_40
What package deals does Bouncy Kings offer?,faq_40
Are there any combo packages from Bouncy Kings like bounce and slide or wedding packages?,faq_40
Can I book an Action Package with Bouncy Kings?,faq_40
Does Bouncy Kings do discounted package bundles?,faq_40
What areas do you deliver bouncy castles to?,faq_41
Is my town covered by your delivery service?,faq_41
Which locations are in your bouncy castle hire delivery area?,faq_41
"Do you deliver to places like Leicester, Nottingham, or Coventry?",faq_41
Can you list all the areas Bouncy Kings covers for delivery?,faq_41
What areas do Bouncy Kings cover?,faq_38
"Do Bouncy Kings deliver to Leicester, Derby, Coventry, Nottingham, Northampton and Rugby?",faq_38
Which towns and cities are included in Bouncy Kings service area?,faq_38
Can I book Bouncy Kings if I'm in Leicester or Nottingham?,faq_38
Where do Bouncy Kings operate around the Midlands?,faq_38
What's your cancellation policy if I need to cancel my booking?,faq_46
"Can I change or cancel my bouncy castle booking, and are there any fees?",faq_46
Do you have any terms for cancellations or booking changes?,faq_46
"If I need to cancel or reschedule, what happens?",faq_46
Is there a cancellation fee if I have to cancel my bouncy castle hire?,faq_46
Do I need to pay a deposit for the bouncy castle hire?,faq_47
"Is there a deposit required, and how much is it?",faq_47
How much deposit do you charge for booking?,faq_47
Do you ask for any deposit upfront?,faq_47
"What’s the deposit amount for hire, if there is one?",faq_47
What time do you usually deliver and collect the bouncy castle?,faq_49
Can you tell me your standard delivery and pickup times?,faq_49
When will the bouncy castle be dropped off and collected?,faq_49
What are your normal delivery hours and collection hours?,faq_49
What time do you deliver in the morning and pick up later in the day?,faq_49
Do you offer rodeo bull hire in Leicester?,faq_45
Is there a rodeo bull hire service available in Leicester?,faq_45
Can I book a rodeo bull hire in Leicester?,faq_45
Do you have a Leicester rodeo bull hire category?,faq_45
Is rodeo bull hire one of your services in Leicester?,faq_45
"What time do you deliver and pick up the bouncy castle, and do you still deliver if it's raining?",faq_48
"Can you tell me your delivery/pickup times? Also, will you set up in wet weather?",faq_48
"When do you drop off and collect the bouncy castle, and is delivery affected by rain?",faq_48
"Do you have set delivery or collection times, and what happens if the weather is bad?",faq_48
"What are the delivery and pickup hours, and do you deliver if theres rain?",faq_48
Can I choose an exact delivery or pick-up time for my booking?,faq_50
"Do you offer specific collection and delivery times, or is it just a request?",faq_50
Can I request a certain time for the bouncy castle to be dropped off and collected?,faq_50
"Is it possible to book a guaranteed delivery time, or only leave a note?",faq_50
"Will you do a specific delivery time if I ask, or is it not guaranteed?",faq_50
Can I refuse to let you collect the equipment after the hire?,faq_53
Am I allowed to turn away the collection team when they come to pick up the equipment?,faq_53
"Do I have to accept collection of the bouncy castle equipment, or can I refuse it?",faq_53
Is it okay to deny collection of the hired equipment for any reason?,faq_53
Can the client refuse the equipment pickup/collection?,faq_53
How much space do you need to get large inflatables in for delivery?,faq_52
Do big bouncy castles or equipment need a 1m access gate?,faq_52
What access is required for larger inflatables to be delivered and set up?,faq_52
Can the delivery team drive onto the site for bigger inflatables?,faq_52
How much room do I need for large inflatable delivery or installation?,faq_52
Can I change the delivery or connection time after it's been sent to me?,faq_51
"Once you've sent the delivery and connection times, is it possible to alter them?",faq_51
Are delivery/connection times fixed after they are issued?,faq_51
Can we make any changes to the connection time after it has been sent?,faq_51
Is there any way to update the delivery time once it's already been sent out?,faq_51
What happens if we're not ready when the delivery team arrives to set up the bouncy castle?,faq_54
Can there be a fee if setup is delayed when the delivery team turns up?,faq_54
"If the delivery team has to wait before setting up, do you charge extra?",faq_54
What is the penalty if the bouncy castle setup is delayed on arrival?,faq_54
Will delivery be refused if the setup isn't started straight away?,faq_54
"Does the company keep ownership of the bouncy castle equipment, or does it become mine after hire?",faq_57
"Are the bouncy castle sizes and measurements exact, or just approximate?",faq_57
Who owns the equipment during and after the rental?,faq_57
Can I rely on the quoted dimensions being exact for the inflatable?,faq_57
"Is all the hire equipment still owned by the company, and are the measurements only approximate?",faq_57
What do I do if the bouncy castle breaks down during the event?,faq_55
"If there’s a fault with the equipment at the party, who should I contact?",faq_55
"Should I keep using the inflatable if it develops a problem, or stop straight away?",faq_55
"In case of a breakdown, how quickly do I need to report it and what should I do next?",faq_55
What’s the procedure if the hired bouncy castle stops working during the event?,faq_55
What should people wear when using the bouncy castle equipment?,faq_59
Do kids need socks and covered skin on the inflatable?,faq_59
What clothing is required to use the equipment safely?,faq_59
Can you tell me the dress code for the bouncy castle hire?,faq_59
Do users have to wear socks and cover exposed skin on the equipment?,faq_59
Can you use the bouncy castle when it's really hot outside?,faq_60
Is it safe to hire the inflatable in hot weather?,faq_60
What happens if the bounce house gets too hot in the sun?,faq_60
Can kids still use the inflatable on a hot day?,faq_60
Do we need to stop using the bouncy castle if the PVC gets really hot?,faq_60
How long can the power cable be before you need a generator for the bouncy castle?,faq_58
Do I need a generator if the castle is more than 50m from a power source?,faq_58
"What length of extension lead do you use, and when does a generator become necessary?",faq_58
"Can you run the electric lead 25m or 50m, or do I need a generator after that?",faq_58
At what distance from the mains do you need to use a generator instead of extension cables?,faq_58
What happens if it's bad weather on the day of my bouncy castle booking?,faq_61
Do you still come out if the weather is poor on my hire day?,faq_61
"If it rains or the weather turns bad, will my booking be cancelled or refunded?",faq_61
Will the company still deliver and set up the bouncy castle in bad weather?,faq_61
Is there any discount or reduction in price if the weather is awful on the day?,faq_61
How long is a written quote valid for?,faq_63
Do written quotations expire after 14 days?,faq_63
What's the validity period for your written quotations?,faq_63
How long do I have to accept a written quotation?,faq_63
Are your quotes only good for 14 days?,faq_63
"If my bouncy castle booking gets cancelled because of strong winds, do I get my money back?",faq_62
What happens to my deposit if you cancel the order due to high winds?,faq_62
Will I receive a refund if the inflatable hire is cancelled for windy weather?,faq_62
"If the company has to cancel because it's too windy, is the payment refunded or turned into credit?",faq_62
Do I lose my payment if my booking is cancelled because of high winds?,faq_62
How much deposit do I need to pay when booking?,faq_64
What’s the required deposit for an order?,faq_64
Do I have to pay a deposit straight away when I place my booking?,faq_64
How much is the booking deposit for the bouncy castle hire?,faq_64
What happens if I place an order without paying a deposit?,faq_64
What happens if the bouncy castle breaks down during my hire?,faq_56
"If there’s a fault with the equipment while I’m renting it, how fast will you sort it out?",faq_56
How quickly do you replace or fix faulty hire equipment?,faq_56
"During the hire, if the castle develops a problem, will you send someone out and provide a replacement?",faq_56
"What do you do if the equipment goes wrong mid-hire, and is it usually fixed within 2 hours?",faq_56
Can I cancel my booking if I change my mind after reserving a specific product for a certain date?,faq_65
Is it possible to get a refund if I cancel a hire for a set date and item?,faq_65
Do you allow cancellations once I’ve booked a specific service or product for a particular day?,faq_65
"If I book a bouncy castle for a date and then change my mind, can I cancel it?",faq_65
Can I back out of a hire booking after choosing the item and date?,faq_65
What areas are mentioned by Bouncy Kings in this section of the terms?,faq_67
Which locations does this part of the terms refer to?,faq_67
"Does Bouncy Kings list Derby, Leicester, Northampton and Nottingham here?",faq_67
What towns or cities are named in this section of the terms and conditions?,faq_67
Can you tell me the areas covered in this section—like Derby or Nottingham?,faq_67
What should I do if there’s a problem during the event?,faq_66
"If something goes wrong with the hire, how do I report it?",faq_66
Who do I contact if I have an issue while the bouncy castle is hired?,faq_66
What happens if I find a problem during the event and report it later?,faq_66
Do I need to phone straight away if there’s an issue during the hire period?,faq_66
How much deposit do I need to pay to confirm my booking?,faq_70
What deposit is required to secure a bouncy castle booking?,faq_70
Do you need a 20% deposit to confirm the booking?,faq_70
How much do I pay upfront to book it?,faq_70
What’s the deposit amount for confirming my hire?,faq_70
What phone number and email address are listed here?,faq_69
How can I contact them in this section?,faq_69
What are the contact details provided for bookings?,faq_69
Can you give me the phone number and email for this package?,faq_69
"What is their contact info, like the number and email address?",faq_69
"Do you handle delivery and pickup of the bouncy castle, and what time do you come?",faq_71
"Is the inflatable delivered and collected by you, and are the times confirmed anywhere?",faq_71
"Do you deliver the bouncy castle and collect it too, and what are the delivery/pickup times?",faq_71
"Who sorts out delivery and collection for the inflatable, and when does that happen?",faq_71
"Can you tell me if you bring and pick up the inflatable, and what the exact times are?",faq_71
What happens if it rains on the day of my bouncy castle hire?,faq_72
Do you have a bad weather or rain policy for castle hire?,faq_72
Can I cancel or rearrange if the weather is poor?,faq_72
What if it’s raining on the day of the booking?,faq_72
Is there any info about weather refunds or rain cover for the bouncy castle?,faq_72
What company name and registered address are listed here?,faq_68
Can you tell me the business name and registered address in this section?,faq_68
"Which company is this, and what’s the registered address shown?",faq_68
Who is the company and where is it registered at?,faq_68
What does it say for the company name and registed address?,faq_68
Can I check availability and book online?,faq_74
Do you let me see if a bouncy castle is available and book it online?,faq_74
Is there an online booking option where I can check availability first?,faq_74
Can I book a bouncy castle through the website and check dates online?,faq_74
Does your site have a check availability and book online feature?,faq_74
What types of products do you have available to hire?,faq_75
Can you tell me the different categories on your website?,faq_75
"What hire categories are listed, like bouncy castles or party extras?",faq_75
Which product ranges do you offer for events and parties?,faq_75
What are all the available product categories I can choose from?,faq_75
What areas do you deliver bouncy castles to in Kent?,faq_76
"Do you deliver to Dartford, Gravesend or Rochester?",faq_76
Which locations are covered by Simply Bouncy Castle Hire?,faq_76
"Can you hire party equipment in Sidcup, Chatham and Welling?",faq_76
What parts of Kent do you serve for delivery?,faq_76
What kind of stuff do you hire out for parties and events?,faq_77
Do you only rent bouncy castles or do you have other hire products too?,faq_77
What products and services are available to hire from your company?,faq_77
"Can I hire soft play, inflatable games, or seasonal items like Santa grottos from you?",faq_77
What do you offer for hire besides bouncy castles?,faq_77
Which postcodes or areas do you deliver to for bouncy castle hire?,faq_73
"Do you cover my area for delivery, and what locations are included?",faq_73
What delivery zones are available for your bounce castle hire service?,faq_73
Can you tell me the delivery areas you service?,faq_73
"Is my postcode included in your delivery areas, or do I need to use ""My Area Isn't Listed""?",faq_73
What is the terms and conditions page for on Simply Bouncy Castle Hire?,faq_78
Can you explain what this Terms & Conditions page covers?,faq_78
What info is included in the Bouncy Castle Hire terms and conditions?,faq_78
Why do I need to read the terms and conditions page?,faq_78
What does the Simply Bouncy Castle Hire terms and conditions page explain?,faq_78
What happens if the bouncy castle is dirty when you pick it up?,faq_80
Will I be charged if the inflatable is damaged on collection?,faq_80
"If the bouncy castle is dirty or has damage when collected, do I have to pay extra?",faq_80
Do you charge for cleaning or repairs if the inflatable comes back dirty or damaged?,faq_80
What if the hired inflatable is returned dirty or damaged when collected?,faq_80
Can I move the inflatable after it's been set up?,faq_81
What do I do if the bouncy castle needs to be repositioned after installation?,faq_81
"If the inflatable has already been positioned, is it ok to move it and how much space do I need around it?",faq_81
How far away should the blower be if I have to move the inflatable after setup?,faq_81
The inflatable is in the wrong spot — what clearance is needed before moving it?,faq_81
"Can you do somersaults on a bouncy castle, or smoke or use a BBQ near it?",faq_79
"Are flips, smoking, and barbecue grills allowed around the inflatable?",faq_79
Is it okay to smoke or have a barbecue near the bouncy castle?,faq_79
"Can kids do somersaults on the bouncy castle, and can we have a BBQ nearby?",faq_79
"What are the rules about somersaults, smoking, and barbecue equipment near the inflatable?",faq_79
What weather conditions affect inflatable delivery or setup?,faq_83
Do rain or bad weather change the setup of the bouncy castle?,faq_83
Is there a specific weather policy for inflatable delivery?,faq_83
Can the inflatable still be delivered or installed if it’s raining?,faq_83
What do the terms say about weather affecting hire setup?,faq_83
Which towns do GreenBouncy Castle Hire cover?,faq_82
"Do you serve areas like Rochester, Sidcup, or Swanley?",faq_82
What locations are included in your bouncy castle hire service area?,faq_82
Can I hire from GreenBouncy Castle Hire if I'm in Welling or West Malling?,faq_82
"Are you available in Newbarn, Northfleet, Strood, Walderslade, or Snodland?",faq_82
What venues are included as hire locations in this section?,faq_86
Can you list the venues suitable for hire here?,faq_86
Which halls and community centres are mentioned for hire?,faq_86
What are the approved venues for hire in this terms section?,faq_86
Could you show me the full list of hire venues in this section?,faq_86
Do these venues require a deposit or have any booking fees/cancellation charges?,faq_88
"Is there any info on deposits, fees, or cancellation fees for the venue hire?",faq_88
Are any deposit amounts or extra charges mentioned for these venues?,faq_88
Does the terms say anything about cancellation charges or a deposit?,faq_88
Any hidden fees or cancellation cost listed for these bouncy venues?,faq_88
What if the bounce castle can’t be set up safely because of bad weather or unsafe conditions at the venue?,faq_87
Do you cancel the inflatable hire if the weather is bad or the site isn’t safe to set up?,faq_87
What happens when the venue is too unsafe for the bouncy castle setup?,faq_87
"If it’s raining or the location isn’t suitable, will the bounce castle still be delivered or installed?",faq_87
Is there any info about weather-related cancellations or unsafe setup conditions for the bouncy castle hire?,faq_87
What time do you deliver and collect for bookings at these venues?,faq_89
Are there set delivery or pickup times for these locations?,faq_89
When is the bouncy castle drop-off and collection at these sites?,faq_89
Do you list delivery/collection times for these booking locations?,faq_89
What are the delivery and pick up times for the venues mentioned here?,faq_89
What venues do you hire out in Essex?,faq_90
Can you list the Essex venues available for hire?,faq_90
Which halls and venues are included for hire in Essex?,faq_90
What places in Essex are listed as hire venues?,faq_90
Do you have a list of your Essex function rooms and halls for hire?,faq_90
When does my bouncy castle hire start and finish?,faq_93
What is the hire period for the goods—when does it begin and end?,faq_93
Does the hire start on delivery or collection date?,faq_93
How long does the hire run for until Ellis Leisure picks it up?,faq_93
When is the rental considered to have started and ended?,faq_93
What time are your office hours and what phone numbers can I call?,faq_91
Can you tell me your opening hours and contact numbers please?,faq_91
"What are Bouncy's office hours, and what's the best number to ring?",faq_91
When is the office open and what are the contact details?,faq_91
What are your hours 9-9 every day? Also what are the phone numbers?,faq_91
What time do you deliver and collect the bouncy castle?,faq_84
Is there a set delivery or pickup time for hire?,faq_84
When are items dropped off and picked up?,faq_84
Do you have specific delivery/pickup times listed?,faq_84
What are the delivery and collection times?,faq_84
Do I have to pay a deposit when I book?,faq_92
Is a deposit required to make a booking?,faq_92
Do you ask for any deposit upfront?,faq_92
How much deposit do I need to pay for a booking?,faq_92
Is there a booking deposit or not mentioned in the terms?,faq_92
When is the deposit due and when do I pay the rest?,faq_94
Do I pay the deposit at booking and the balance on delivery?,faq_94
What's the payment schedule for the deposit and final balance?,faq_94
"When do I need to pay the deposit shown on the booking form, and when is the remaining balance due?",faq_94
Deposit upfront or on delivery — when are each of the payments due?,faq_94
What do I do if the hire items arrive and they're not okay?,faq_95
"If the goods are delivered in poor condition, who should I contact?",faq_95
What should I do when the items are unsatisfactory on delivery?,faq_95
"If my delivered equipment has a defect, what steps should I take?",faq_95
What if the goods aren’t satisfactory when they turn up?,faq_95
Can I hook up extra equipment to the hired bouncy goods?,faq_97
Am I allowed to mortgage or sell the hired equipment to someone else?,faq_97
Do I need written permission to connect other gear to the hired goods?,faq_97
"Can the hired items be used with additional equipment, or is that not allowed?",faq_97
Is it okay to pass on or mortgage the bouncy hire equipment to another person?,faq_97
Will I get an estimated delivery and pickup time before my event?,faq_98
Do you tell me when the bouncy will be delivered and collected?,faq_98
Will I be informed of the expected drop-off and collection times ahead of time?,faq_98
Can you let me know the estimated arrival and pick up times for my booking?,faq_98
"Are delivery and collection times confirmed before the event, and could collection be earlier than planned?",faq_98
Do I have to insure the hired equipment myself?,faq_96
Is insurance required for the hire equipment during the hire period?,faq_96
"Who is responsible for insuring the hired goods, me or the company?",faq_96
Do I need to keep the equipment insured for the full rental period?,faq_96
Should I take out full replacement value insurance on the hired items?,faq_96
Will I be charged if my cheque bounces or a card payment doesn't go through?,faq_100
What happens if a payment I make by cheque or credit is not honored?,faq_100
"Do you charge a fee for failed cheque, credit, or other payments?",faq_100
Is there an admin charge if my payment is returned unpaid?,faq_100
"If my payment doesn't clear, will Ellis Leisure charge me a fee?",faq_100
"How much deposit do I need to pay when I send back the booking form, and who do I make the cheque out to?",faq_99
"What deposit is required with the booking form for each item hired, and what name should the cheque be payable to?",faq_99
"Do I need to include a £20 deposit per item on the hire form, and who should the cheque be payable to?",faq_99
"How much do I have to enclose with my booking form for the deposit, and is the cheque made payable to Ellis Leisure?",faq_99
"For a bouncy hire booking, what's the deposit amount per item and who should the cheque be addressed to?",faq_99
What happens to my payment if I have to cancel or move my booking because of Covid restrictions?,faq_102
Can I transfer my deposit if coronavirus means my event can’t go ahead?,faq_102
"If the venue closes due to a confirmed Covid case, do I lose my payment or can I reschedule?",faq_102
What is Ellis Leisure's policy on postponing a hire because of government coronavirus restrictions?,faq_102
Can my booking fee be moved to another date within 12 months if Covid stops the event?,faq_102
"If I move my booking to a new date, how long is my deposit transfer valid for?",faq_103
"Can my deposit be held over for another date, and is there a 12 month limit?",faq_103
How long can Ellis Leisure keep my deposit if I change the hire date?,faq_103
Do deposit transfers expire after a year when I reschedule?,faq_103
What’s the max time a deposit can be transferred to a new booking date?,faq_103
"During the hire period, who pays if a third party gets hurt or something gets damaged?",faq_104
